judul,isi,hari,tanggal,jam,kategori,link
Sulitnya Hapus Data Registrasi Aplikasi Dana,"Saya ingin medaftar akun Dana (PT Espay Debit Indonesia Koe) dengan nomor saya, namun nomor tersebut sudah terdaftar dan meminta pin. Saya klik coba lupa pin dan berhasil masuk dengan status akun premier atas nama orang lain.

Mungkin karena nomor saya termasuk nomor recycle yang mungkin pernah digunakan oleh pemilik sebelumnya. Sebagai catatan, saya membeli nomor tersebut pada bulan Februari 2025 di website XL Prioritas.

Oleh karena itu Saya ingin mengajukan penghapusan akun DANA dengan nomor tersebut, namun sangat sulit. Saya sudah menghubungi Dana melalui chat, namun tidak bisa tersambung dengan customer service.

SCROLL TO CONTINUE WITH CONTENT

Saya juga sudah menghubungi melalui telepon di nomor 1500 445, tidak ada solusi hanya disarankan penghapusan, diabaikan atau ganti nomor. Saya anggap ini bukan solusi karena saya tidak mungkin ganti nomor lagi. Setelah itu saya komplain melalui APPK OJK yang ternyata Dana belum terdaftar di List OJK maupun Bank Indonesia.

Saya sudah mencoba berkali kali mencoba melakukan penghapusan melalui aplikasi sesuai yang disarankan, tetapi tidak bisa.

Idacahkediri002@gmail.com

Keluhan diatas belum ditanggapi oleh pihak terkait",Jumat,23 Mei  2025,15:32 WIB,detikNewsSuara Pembaca,https://news.detik.com/suara-pembaca/d-7928775/sulitnya-hapus-data-registrasi-aplikasi-dana
"Penawaran investasi PT Rifan Berjangka Tak Sesuai, Nasabah Merugi","Saya adalah nasabah komoditas berjangka dari PT. Rifan Financindo Berjangka yang tertarik oleh penawaran marketing dengan paket investasi trading emas senilai modal awal Rp 100 juta bisa profit. Namun saya berakhir merugi hingga total Rp 200 juta hanya dalam tujuh hari transaksi atau trading akibat kesalahan analis PT Rifan.

Sesuai perjanjian awal saya diharuskan melakukan transaksi sesuai petunjuk analis PT. Rifan agar mendapatkan profit yang dijanjikan.

Sangat jelas ada ketidakprofesionalan tim PT Rifan, yaitu kesalahan penawaran yang tidak sesuai dengan actual volatilitas pasar, strategi yang salah untuk investasi Rp 100 juta disamakan dengan investor Rp 1 milyar dengan metode locking (dragging) bukan cut loss, membuka posisi lot yang sangat aggressive dan banyak, yang berujung pada nasabah ditekan dan dibuat panik dan harus top up dana adalah solusinya.

SCROLL TO CONTINUE WITH CONTENT

Pada akhirnya nasabah merugi akibat kesalahan tim PT Rifan tetapi tidak bertanggung jawab dan menyebutkan kerugian karena kesalahan nasabah. Dalam hal ini saya meminta investigasi internal tapi tidak direspons.

Harryharry.januarta@gmail.com

Keluhan diatas belum ditanggapi oleh pihak terkait",Jumat,23 Mei  2025,15:15 WIB,detikNewsSuara Pembaca,https://news.detik.com/suara-pembaca/d-7928735/penawaran-investasi-pt-rifan-berjangka-tak-sesuai-nasabah-merugi
"Dilindungi Asuransi, Dua Bulan Lebih Perbaikan Ioniq 5 Belum Selesai","Pada Oktober 2024, saya membeli mobil Ioniq 5 di dealer Hyundai Summarecon Bekasi. Dibantu oleh staff penjualan, mobil dibeli secara kredit dengan asuransi all risk perluasan banjir dan huru hara dari Asuransi Total Bersama.

Awal Maret 2025, mobil terendam banjir bandang yang melanda Jabodetabek. Mobil diderek menuju Bengkel Hyundai Harapan Indah, komunikasi melalui chat aplikasi whatsapp dan telepon. Menjelang akhir bulan Maret, menjelang libur Idul Fitri, diinformasikan bahwa mobil baru sampai pada tahap sudah dibersihkan dari kotoran bekas banjir.

Pada pertengahan April 2025, saya menghubungi call center Hyundai dan mendapat jawaban ""Selamat siang, ibu. Saya mendapat informasi mengenai adanya laporan komplain mengenai unit ibu. untuk estimasi tambahan mengenai sensor yang menyala dan mengenai baterai sudah saya tangani bersama pihak asuransi mengenai hal tersebut. Untuk penyelesaian pengerjaan kendaraan, kami tidak bisa terburu-buru karena banyak kemungkinan yang terjadi pada unit dengan terendam banjir. Sampai saat ini masih ada indikasi jika baterai juga bisa terjadi masalah, karena unit tidak bisa di start jalan, hanya nyala pada clusternya. terima kasih"".

SCROLL TO CONTINUE WITH CONTENT

Rabu 16 April, diberitahukan bahwa perbaikan mobil dipindah ke Hyundai Kalimalang. Tanggal 21 April dikabarkan bahwa bermasalah dengan persetujuan Asuransi TOB. Kabar baik mengenai persetujuan Asuransi baru datang padang 30 April. Nilai cover asuransi hampir menyentuh angka Rp 90 juta.

Tanggal 09 Mei 2025, diinformasikan bahwa parts sensor dan modul masih belum datang. Tanggal 14 Mei 2025, dikatakan bahwa dari 18 part yang dibutuhkan, yang tersedia baru dua. Hampir tiga bulan mobil tidak bisa digunakan dan saya tetap membayar angsuran setiap bulan. Mohon tanggapan Hyundai agar segera menyelesaikan perbaikan mobil saya, terima kasih.

Nisananisaindra@gmail.com

Keluhan diatas belum ditanggapi oleh pihak terkait",Jumat,23 Mei  2025,14:33 WIB,detikNewsSuara Pembaca,https://news.detik.com/suara-pembaca/d-7928621/dilindungi-asuransi-dua-bulan-lebih-perbaikan-ioniq-5-belum-selesai
Satu Tahun Menunggu Proses Refund Dana Member PPOB Arindo Pratama,"Kami merupakan salah satu Mitra Member Loket PPPOB PT. Arindo Pratama Bandung dengan alamat Jl. Arhanudri No. 20 Batununggal, Bandung 40266. Saya bergabung cukup lama bahkan genap belasan tahun bergabung menjadi Mitra Loket PPOB PT. Arindo Pratama tersebut. Loket PPPOB PT. Arindo Pratama Bandung merupakan salah satu Aplikasi yang menyediakan jasa Loket Payment Point yang cukup lengkap di kelasnya.

Diawal tahun 2024, tepatnya di bulan Maret - April 2024 aplikasi mulai memiliki banyak masalah teknis hingga tidak bisa bertransaksi total sama sekali. Hingga akhirnya kami meminta pengembalian dana Kami yang masih tersimpan sebagai saldo deposit. Sudah beberapa kali komunikasi kami sampaikan kepada pihak manajemen.

Baik melalui Akun Telegram resmi maupun melalui Akun WhatssApp Official Perusahaan. Namun sampai saat ini belum ada konfirmasi yang memuaskan. Bahkan di Awal Bulan Mei 2024, kami disarankan untuk berpindah atau bermigrasi ke PPOB yang baru dengan nama PPOB NASIIRA atau melakukan Pengembalian DANA.

SCROLL TO CONTINUE WITH CONTENT

Namun hingga saat ini, baik Pengembalian DANA maupun Pindah Saldo ke PPOB NASIIRA belum ada informasi lanjutan dan jawaban pasti dari pihak Arindo Pratama. Bahkan yang membuat kami terkejut adalah jawaban terbaru dari Official Account WhatsApp adalah ""bingung jawabnya ya pak semuanya tidak jelas saya pun ragu akan ada refund,sebenarnya kamipun karyawan tidak berbeda sama sama menunggu. Tapi ya itu tidak ada kepastian waktunya kapan,kami sudah berusaha menekan pemilik arindonya jawabannya selalu sama disuruh menunggu dan menunggu"".

Melihat belum ada tanggung Jawab dari Manajemen PT Arindo Pratama, baik bapak Soegeng Rijadi, SE selaku Komisaris maupun Bapak Tetuko Mustofa Ahyar dan Ibu Purwanti Pantjawardani selaku Direktur perusahaan terkait itikad baik tanggung jawab pengembalian dana hingga saat ini. Maka, kami putuskan untuk menyampaikan keluhan melalui Media Online Suara Pembaca Detik.com.Terima kasih.

Yanantoyananto.mihadi@gmail.com



Simak juga Video: Aldy Maldini Siap Refund Uang Fans Seusai Dituding Lakukan Penipuan

[Gambas:Video 20detik]



Keluhan diatas belum ditanggapi oleh pihak terkait",Jumat,16 Mei  2025,11:41 WIB,detikNewsSuara Pembaca,https://news.detik.com/suara-pembaca/d-7916830/satu-tahun-menunggu-proses-refund-dana-member-ppob-arindo-pratama
"Diklaim Lebih Kuat dari Kaca dan Acrylic, Solartuff Retak dan Rembes","Saya membeli Solartuff dari Impact Pratama Group sebagai penjualan produk Solartuff seharga Rp 11.116.500. Sebagai catatan, Solartuff adalah semacam atap yang terbuat dari bahan semacam acrylic. Solartuff diklaim bahwa kekuatannya 250x lebih dari kaca dan 20x lebih kuat dari acrylic dan juga kuat terhadap api yang dapat di lihat di iklan solartuff di instagram.

Setelah melihat iklan di Youtube bahwa kekuatan Solartuff sangat bisa diandalkan, maka saya memutuskan untuk memakai solartuff sebagai atap gazebo rumah baru saya di Bogor.

Setelah saya pasang pada bulan Januari 2025, ternyata tidak tahan terhadap matahari karen langsung bergelombang saat terkena matahari pagi. Ketika saya tanyakan ini, diberitahukan bahwa Solartuff memang akan bergelombang di saat terkena panas dan akan kembali lurus setelah adem dan maka saya memaklumi hal itu.

SCROLL TO CONTINUE WITH CONTENT

Bulan Maret 2025, saat hujan deras saya liat ternyata ada rembes dan retak di atap Solartuff saya, ketika itu saya memutuskan untuk memberi lem Korea pada titik yang retak. Satu bulan kemudian retak bertambah dua tempat dan cukup besar, maka saya mencoba menghubungi pihak Solartuff.

Namun tak ada jawaban yang diberikan, maka saya tanyakan kepada Pak Ang sebagai Project Manager Solartuff. Dikatakan bahwa hal ini bukan kesalahan dari Solartuff atas keretakan tersebut tanpa melihat ke lokasi, lalu tidak ada cacat produksi, lalu bukan karena panas matahari, jadi intinya keretakan itu atas kesalahan saya.

Ketika saya menanyakan kenapa Solartuff itu retak, beliau tidak tahu, padahal untuk produk yang diklaim kekuatannya 250X dari kaca dan 20x lebih kuat dari acrylic ini sangat mengecewakan. Solartuff ini menurut saya bukan barang murah, untuk harga hampir Rp 12 juta dengan ukuran 12 meter. Saya harap ada solusi untuk Solartuff saya yang retak. Terima kasih.

Rizkypenarizky.876@gmail.com

Keluhan diatas belum ditanggapi oleh pihak terkait",Selasa,13 Mei  2025,22:57 WIB,detikNewsSuara Pembaca,https://news.detik.com/suara-pembaca/d-7912935/diklaim-lebih-kuat-dari-kaca-dan-acrylic-solartuff-retak-dan-rembes
Lamanya Proses Instalasi Indosat HiFi,"Saya pelanggan Indosat dengan nomor MTX11279790. Tanggal 30 April 2025, saya mengajukan proses pasang baru yang kedua untuk paket internet Indosat HiFi dengan nomor akun 11658815.

Namun sampai surat ini ditulis, proses instalasi belum juga dilakukan, padahal hal ini tidak saya alami saat proses pemasangan yang pertama. Sejauh ini sudah ada tiga teknisi yang menghubungi saya untuk proses instalasi.

Namun hanya satu teknisi yang datang berkunjung seorang diri yang tentu saja sulit untuk instalasi sendirian sehingga prosesnya ditunda dan tidak ada kejelasan sampai saat surat ini dibuat.

SCROLL TO CONTINUE WITH CONTENT

WeindyNomor Pelanggan MTX11279790

Keluhan diatas belum ditanggapi oleh pihak terkait",Selasa,13 Mei  2025,22:46 WIB,detikNewsSuara Pembaca,https://news.detik.com/suara-pembaca/d-7912923/lamanya-proses-instalasi-indosat-hifi
Janji Diskon Customer Service Inbound Myrepublic Belum Terealisasi,"(SOLVED)



Saya pelanggan aktif Myrepublic, dengan tanggal cetak tagihan setiap tanggal 28. Penggunaan internet di rumah sangat jarang sehingga pada 09 Maret 2025 mengajukan berhenti berlangganan melalui WA call 0889-8150-0818 ke customer service. Agar saya tetap berlangganan, saya diberikan penawaran retensi diskon tagihan 50% selama 6 bulan dari tarif normal paket yang saya gunakan jet20Mbps Rp 255.000, harga setelah diskon menjadi Rp 128.344, yang akan berlaku di cetak tagihan berikutnya tanggal 28 Maret 2025.

SCROLL TO CONTINUE WITH CONTENT

Persetujuan penawaran ini sudah divalidasi melalui email konfirmasi promo dengan email pengirim desi.wulandari@myrepublic.net.id. Tanggal 28 Maret 2025, saya mendapatkan email tagihan dengan nominal masih tarif normal.

Pada tanggal 01 April 2025, saya menghubungi customer service inbound melalui WA call dan dijanjikan langsung diproses koreksi tagihan hari itu juga, jadi bisa langsung segera dibayarkan. Secara berkala saya cek tagihan dan mencoba melakukan pembayaran melalui e-commerce, tetapi tagihan belum ada perubahan.

Tepat tanggal 30 Maret 2025 dan 03 April 2025, saya menghubungi melalui instagram official account @myrepublicindonesia tetapi tidak mendapatkan respons apapun.

Sampai dengan hari ini, saya masih menerima whatsapp reminder tagihan dengan nominal yang tidak sesuai Rp 255.000, dan nanti tanggal 28 April 2025 akan tercetak tagihan kembali ditambah denda keterlambatan Rp 50.000. Mohon tanggapan dan solusi dari Myrepublic. Terima kasih.

AndrianNomor Laporan 10531288 dan 10526385Jawaban

Tanggapan MyRepublic

Terima kasih kepada Detik.com telah menayangkan Suara Pembaca Bapak Andrian pada 7 Mei 2025 dengan judul ""Janji Diskon Customer Service Inbound MyRepublic Belum Terealisasai""

SCROLL TO CONTINUE WITH CONTENT

Menanggapi Suara Pembaca Bapak Andrian, kami menyampaikan permohonan maaf yang sebesar-besarnya atas ketidaknyamanan yang dialami oleh Bapak Andrian terkait kendala pada layanan dan promo yang belum terinput.

Dapat kami sampaikan bahwa saat ini promo potongan harga telah berhasil kami input dalam sistem, dan sebagai bentuk tanggung jawab, kami juga telah memberikan kompensasi tambahan. Layanan MyRepublic Bapak Andrian yang sebelumnya sempat ditangguhkan, kini telah diaktifkan kembali dan berfungsi normal.

Tim MyRepublic juga telah menghubungi dan berkomunikasi langsung dengan Bapak Andrian untuk menyampaikan klarifikasi dan memastikan bahwa seluruh kendala yang dilaporkan telah ditindaklanjuti dengan baik.

Kami menghargai masukan dari pelanggan dan akan terus berkomitmen untuk meningkatkan kualitas layanan kami kedepannya.

MyRepublic Indonesia",Rabu,07 Mei  2025,05:56 WIB,detikNewsSuara Pembaca,https://news.detik.com/suara-pembaca/d-7903019/janji-diskon-customer-service-inbound-myrepublic-belum-terealisasi
Akun Shopee Tak Bisa Belanja dengan Voucher,"Saya merupakan pelanggan yang aktif belanja online di Shopee untuk kebutuhan usaha ataupun pribadi. Sejak 10 April 2025, akun Shopee saya bermasalah dengan analisa saya apabila checkout menggunakan voucher, maka pesanan tersebut dibatalkan dengan alasan aktifitas tidak wajar, terutama voucher dengan nominal yang cukup besar seperti.

Saya sudah menghubungi customer service Shopee melalui liveechat dan diberitahukan bahwa akun saya normal, pesanan bermasalah karena tidak memenuhi syarat tanpa diberitahukan syarat yang mana.

Akun saya aktif digunakan untuk belanja usaha pribadi, suami saya juga aktif menggunakan akun Shopee untuk belanja produk. Menurut saya terjadi kesalahan pada sistem Shopee yang mendeteksi akun saya dan suami saya adalah satu orang sehingga pesanan akun saya selalu dibatalkan apabila menggunakan voucher.

SCROLL TO CONTINUE WITH CONTENT

Saya meminta solusi dari pihak Shopee karena sampai sekarang akun saya tidak bisa digunakan untuk belanja produk dengan menggunakan voucher. Terima kasih.

Cynthiacynthiaa.hu@gmail.com

Keluhan diatas belum ditanggapi oleh pihak terkait",Rabu,07 Mei  2025,05:40 WIB,detikNewsSuara Pembaca,https://news.detik.com/suara-pembaca/d-7903016/akun-shopee-tak-bisa-belanja-dengan-voucher
"Paket Hilang, Ganti Rugi dari JNE Tak Sesuai Nilai Barang","Sebagai penjual barang di Tokopedia, saya telah mengirimkan pesanan pembeli menggunakan jasa kurir JNE dengan nomor resi TLJC3D6NT5G9JK86 dengan nilai barang Rp 8.500.000 pada 4 Februari 2025.

Namun hingga surat ni saya kirimkan, barang belum sampai ke pembeli dan dinyatakan hilang. Uang ganti rugi yang saya terima hanya 10 kali ongkos kirim dengan total Rp 355 ribu karena saya memberikan opsi ke pembeli untuk asuransi atau tidak.

Pihak Tokopedia melemparkan kesalahan ke pihak penjual dan pihak JNE tidak mau bertanggung jawab atas kerugian yang saya alami. Seharusnya pihak JNE yang memiliki nama besar bisa melindungi konsumen terhadap kerugian seperti ini.

SCROLL TO CONTINUE WITH CONTENT

Saya sudah berkali-kali menghubungi customer service JNE tapi tidak ada hasil, hanya dibuatkan laporan dan tidak ada tindakan nyata.

GunawanNomor resi TLJC3D6NT5G9JK86

Keluhan diatas belum ditanggapi oleh pihak terkait",Rabu,07 Mei  2025,05:32 WIB,detikNewsSuara Pembaca,https://news.detik.com/suara-pembaca/d-7903013/paket-hilang-ganti-rugi-dari-jne-tak-sesuai-nilai-barang
"Barang yang Dijual Dituduh Palsu, Tokopedia Lepas Tangan","(SOLVED)



Kami adalah penjual di platform Tokopedia dengan nama akun Pupustoria. Pada tanggal 8 April 2025, kami mengirimkan pesanan berupa barang preloved berupa botol ASI merek Medela. Setelah barang diterima oleh pembeli, yang bersangkutan mengajukan komplain dengan tuduhan bahwa barang yang dikirim adalah palsu, dengan alasan tidak terdapat motif bunga pada botol.

SCROLL TO CONTINUE WITH CONTENT

Perlu kami sampaikan bahwa barang yang kami jual merupakan barang preloved, yang tentu telah mengalami perubahan kondisi akibat pemakaian dan proses sterilisasi. Namun demikian, pembeli tetap bersikukuh bahwa produk tidak sesuai dan menuduh kami telah menyesatkan melalui foto produk yang berbeda dengan toko lain.

Menanggapi hal tersebut, pihak Tokopedia meminta kami mengirimkan bukti pembelian, dan kami telah mengirimkan invoice pembelian dari Medela Official Store di Tokopedia, yang dilakukan pada tahun 2020. Namun hingga lebih dari tiga hari setelah dokumen dikirimkan, belum ada tanggapan dari pihak Tokopedia.

Kami mempertanyakan kualitas pelayanan Tokopedia sebagai marketplace besar di Indonesia. Apakah Tokopedia tidak memberikan perlindungan bagi penjual yang membeli langsung dari Official Store di platformnya sendiri dan kemudian dituduh menjual barang palsu? Apakah ini berarti Tokopedia tidak dapat menjamin keaslian produk yang dijual oleh toko resmi (Official Store) di platformnya?

Jika demikian, kami rasa pihak Medela Official Store pun perlu mengevaluasi dan mempertanyakan komitmen Tokopedia dalam mendukung kredibilitas toko resmi mereka.

Selain itu, kami juga merasa keberatan atas sikap pembeli dengan akun LoveLiveNshopping yang menyampaikan komentar dengan kata-kata tidak pantas dalam diskusi produk. Kami berharap Tokopedia dapat memberikan klarifikasi dan tanggapan atas permasalahan ini. Terima kasih.

Kusumokusumobn@gmail.comJawaban

Bapak Kusumo menyampaikan bahwa Tokopedia sudah memberikan solusi.



SCROLL TO CONTINUE WITH CONTENT

'Lihat juga video:Tokopedia: Kategori Groceries Paling Diincar Sepanjang Ramadan 2024'

[Gambas:Video 20detik]

",Senin,28 Apr 2025,15:24 WIB,detikNewsSuara Pembaca,https://news.detik.com/suara-pembaca/d-7889672/barang-yang-dijual-dituduh-palsu-tokopedia-lepas-tangan
Sulitnya Hapus Data Registrasi Aplikasi Dana,"Saya ingin medaftar akun Dana (PT Espay Debit Indonesia Koe) dengan nomor saya, namun nomor tersebut sudah terdaftar dan meminta pin. Saya klik coba lupa pin dan berhasil masuk dengan status akun premier atas nama orang lain.

Mungkin karena nomor saya termasuk nomor recycle yang mungkin pernah digunakan oleh pemilik sebelumnya. Sebagai catatan, saya membeli nomor tersebut pada bulan Februari 2025 di website XL Prioritas.

Oleh karena itu Saya ingin mengajukan penghapusan akun DANA dengan nomor tersebut, namun sangat sulit. Saya sudah menghubungi Dana melalui chat, namun tidak bisa tersambung dengan customer service.

SCROLL TO CONTINUE WITH CONTENT

Saya juga sudah menghubungi melalui telepon di nomor 1500 445, tidak ada solusi hanya disarankan penghapusan, diabaikan atau ganti nomor. Saya anggap ini bukan solusi karena saya tidak mungkin ganti nomor lagi. Setelah itu saya komplain melalui APPK OJK yang ternyata Dana belum terdaftar di List OJK maupun Bank Indonesia.

Saya sudah mencoba berkali kali mencoba melakukan penghapusan melalui aplikasi sesuai yang disarankan, tetapi tidak bisa.

Idacahkediri002@gmail.com

Keluhan diatas belum ditanggapi oleh pihak terkait",Jumat,23 Mei  2025,15:32 WIB,detikNewsSuara Pembaca,https://news.detik.com/suara-pembaca/d-7928775/sulitnya-hapus-data-registrasi-aplikasi-dana
"Penawaran investasi PT Rifan Berjangka Tak Sesuai, Nasabah Merugi","Saya adalah nasabah komoditas berjangka dari PT. Rifan Financindo Berjangka yang tertarik oleh penawaran marketing dengan paket investasi trading emas senilai modal awal Rp 100 juta bisa profit. Namun saya berakhir merugi hingga total Rp 200 juta hanya dalam tujuh hari transaksi atau trading akibat kesalahan analis PT Rifan.

Sesuai perjanjian awal saya diharuskan melakukan transaksi sesuai petunjuk analis PT. Rifan agar mendapatkan profit yang dijanjikan.

Sangat jelas ada ketidakprofesionalan tim PT Rifan, yaitu kesalahan penawaran yang tidak sesuai dengan actual volatilitas pasar, strategi yang salah untuk investasi Rp 100 juta disamakan dengan investor Rp 1 milyar dengan metode locking (dragging) bukan cut loss, membuka posisi lot yang sangat aggressive dan banyak, yang berujung pada nasabah ditekan dan dibuat panik dan harus top up dana adalah solusinya.

SCROLL TO CONTINUE WITH CONTENT

Pada akhirnya nasabah merugi akibat kesalahan tim PT Rifan tetapi tidak bertanggung jawab dan menyebutkan kerugian karena kesalahan nasabah. Dalam hal ini saya meminta investigasi internal tapi tidak direspons.

Harryharry.januarta@gmail.com

Keluhan diatas belum ditanggapi oleh pihak terkait",Jumat,23 Mei  2025,15:15 WIB,detikNewsSuara Pembaca,https://news.detik.com/suara-pembaca/d-7928735/penawaran-investasi-pt-rifan-berjangka-tak-sesuai-nasabah-merugi
