judul,link,desc,tanggal,kategori,keyword
Pemerintah Siapkan Rp 217 T buat Makan Bergizi Gratis Tahun Depan,https://finance.detik.com/berita-ekonomi-bisnis/d-7934715/pemerintah-siapkan-rp-217-t-buat-makan-bergizi-gratis-tahun-depan,"Badan Gizi Nasional menargetkan 82,9 juta penerima Makan Bergizi Gratis (MBG) dengan 30.000 Satuan Pelayanan Pemenuhan Gizi (SPPG) pada 2025.",3 jam yang lalu,detikFinance,makan bergizi gratis
"Sisa Makanan dari Program Makan Bergizi Gratis Capai 1,4 Juta Ton",https://finance.detik.com/berita-ekonomi-bisnis/d-7934797/sisa-makanan-dari-program-makan-bergizi-gratis-capai-1-4-juta-ton,"Bapanas mengungkap potensi ekonomi dari sisa makanan Program Makan Bergizi Gratis, mencapai 1,4 juta ton per tahun, untuk pakan, kompos, dan donasi.",3 jam yang lalu,detikFinance,makan bergizi gratis
Kemenkeu Lapor Realisasi Anggaran Makan Bergizi Gratis Capai Rp 3 T,https://finance.detik.com/berita-ekonomi-bisnis/d-7929006/kemenkeu-lapor-realisasi-anggaran-makan-bergizi-gratis-capai-rp-3-t,Kementerian Keuangan (Kemenkeu) melaporkan realisasi anggaran program Makan Bergizi Gratis (MBG) hingga 21 Mei 2025 mencapai Rp 3 triliun.,"Jumat, 23 Mei  2025 16:39 WIB",detikFinance,makan bergizi gratis
Video: BGN Bantah Isu Raffi Ahmad Dapat Proyek 300 Dapur MBG di Banten,https://20.detik.com/detikupdate/20250522-250522125/video-bgn-bantah-isu-raffi-ahmad-dapat-proyek-300-dapur-mbg-di-banten,,"Kamis, 22 Mei  2025 17:03 WIB",20Detik,makan bergizi gratis
Upaya Pemkab Gianyar Sukseskan Program Makan Bergizi Gratis di Sekolah,https://www.detik.com/bali/berita/d-7926942/upaya-pemkab-gianyar-sukseskan-program-makan-bergizi-gratis-di-sekolah,"Pemkab Gianyar menunjukkan komitmennya dalam mendukung program pemerintah pusat, khususnya program Makan Bergizi Gratis (MBG).","Kamis, 22 Mei  2025 15:35 WIB",detikBali,makan bergizi gratis
"BGN Kejar Target 82,9 Juta Penerima MBG: 14.000 Mitra Calon Sedang Diverifikasi",https://news.detik.com/berita/d-7934291/bgn-kejar-target-82-9-juta-penerima-mbg-14-000-mitra-calon-sedang-diverifikasi,"Kepala BGN Dadan Hindayana mengatakan target penerima manfaat MBG mencapai 82,9 juta pada 2025 akan tercapai apabila proses verifikasi SPPG berjalan lancar.",14 jam yang lalu,detikNews,makan bergizi gratis
BGN Ungkap 2 Penyebab Utama Kasus Keracunan Makan Bergizi Gratis,https://www.detik.com/jogja/berita/d-7923052/bgn-ungkap-2-penyebab-utama-kasus-keracunan-makan-bergizi-gratis,Badan Gizi Nasional (BGN) mengungkap ada dua penyebab utama keracunan pangan terkait makan bergizi gratis (MBG). Apa itu?,"Selasa, 20 Mei  2025 14:47 WIB",detikJogja,makan bergizi gratis
Potret Prabowo dan Bill Gates Tinjau Makan Bergizi Gratis di Jaktim,https://news.detik.com/foto-news/d-7903476/potret-prabowo-dan-bill-gates-tinjau-makan-bergizi-gratis-di-jaktim,,"Rabu, 07 Mei  2025 12:30 WIB",Foto News,makan bergizi gratis
"Program Makan Bergizi Gratis Dimulai di Bangli, Sasar 1.302 Siswa",https://www.detik.com/bali/berita/d-7922086/program-makan-bergizi-gratis-dimulai-di-bangli-sasar-1-302-siswa,"Program Makan Bergizi Gratis (MBG) diluncurkan di Tembuku, Bangli, untuk 1.302 anak. Program ini bertujuan memenuhi kebutuhan gizi generasi muda.","Selasa, 20 Mei  2025 04:30 WIB",detikBali,makan bergizi gratis
"Program Makan Bergizi Gratis di Ponorogo Sempat Terhenti, Kenapa?",https://www.detik.com/jatim/berita/d-7921170/program-makan-bergizi-gratis-di-ponorogo-sempat-terhenti-kenapa,Program Makan Bergizi Gratis (MBG) di Ponorogo terhenti sementara untuk penyesuaian administrasi. Dandim menjelaskan perubahan mekanisme pencairan dana.,"Senin, 19 Mei  2025 14:45 WIB",detikJatim,makan bergizi gratis
1.844 Siswa di Buleleng Terima Makan Bergizi Gratis Tahap Pertama,https://www.detik.com/bali/berita/d-7920877/1-844-siswa-di-buleleng-terima-makan-bergizi-gratis-tahap-pertama,"Program Makan Bergizi Gratis (MBG) diluncurkan di Buleleng, Bali, untuk 1.844 siswa. Diharapkan meningkatkan kualitas gizi anak-anak hingga 30 Mei 2025.","Senin, 19 Mei  2025 12:01 WIB",detikBali,makan bergizi gratis
Sulsel Ajukan 91 Titik Lahan SPPG demi Dukung Program Makan Bergizi Gratis,https://www.detik.com/sulsel/sulsel-ewako/d-7926218/sulsel-ajukan-91-titik-lahan-sppg-demi-dukung-program-makan-bergizi-gratis,"Pemprov Sulsel ajukan 92 titik lahan untuk SPPG, melebihi target pemerintah pusat. Program Makan Bergizi Gratis bertujuan tingkatkan gizi anak sekolah.","Kamis, 22 Mei  2025 10:30 WIB",detikSulsel,makan bergizi gratis
Menteri PU Minta ke Erick Agar CSR 3 BUMN Karya Bangun Dapur MBG,https://finance.detik.com/infrastruktur/d-7933171/menteri-pu-minta-ke-erick-agar-csr-3-bumn-karya-bangun-dapur-mbg,Menteri PU Dody Hanggodo meminta bantuan tiga BUMN Karya untuk membangun prototipe Satuan Pelayanan Pemenuhan Gizi (SPPG) atau dapur Makan Bergizi Gratis (MBG).,"Senin, 26 Mei  2025 14:20 WIB",detikFinance,makan bergizi gratis
Kepala BPOM Curhat Tak Dilibatkan Awasi Dapur Makan Bergizi Gratis,https://news.detik.com/berita/d-7915733/kepala-bpom-curhat-tak-dilibatkan-awasi-dapur-makan-bergizi-gratis,BPOM menyebut tak dilibatkan untuk mengawasi dapur-dapur MBG. BPOM baru dilibatkan secara penuh setelah kejadian luar biasa kasus keracunan siswa.,"Kamis, 15 Mei  2025 16:35 WIB",detikNews,makan bergizi gratis
PM Australia Albanese Puji Program Makan Bergizi Gratis Gagasan Prabowo,https://news.detik.com/berita/d-7915928/pm-australia-albanese-puji-program-makan-bergizi-gratis-gagasan-prabowo,"PM Albanese mengapresiasi program-program pembangunan yang meningkatkan kualitas hidup masyarakat Indonesia, salah satunya seperti program Makan Bergizi Gratis.","Kamis, 15 Mei  2025 17:48 WIB",detikNews,makan bergizi gratis
Video: BPOM Bakal Siapkan Alat Pendeteksi Makanan Beracun di SPPG,https://20.detik.com/detikupdate/20250522-250522123/video-bpom-bakal-siapkan-alat-pendeteksi-makanan-beracun-di-sppg,,"Kamis, 22 Mei  2025 17:00 WIB",20Detik,makan bergizi gratis
Daycare 'Tamasya' Kemendukbangga Akan Dapat Program Makan Bergizi Gratis,https://news.detik.com/berita/d-7915673/daycare-tamasya-kemendukbangga-akan-dapat-program-makan-bergizi-gratis,Kemendukbangga meresmikan program daycare Taman Asuh Sayang Anak (Tamasya). Program Tamasya ini untuk mempercepat pencapaian target-target prioritas.,"Kamis, 15 Mei  2025 16:04 WIB",detikNews,makan bergizi gratis
