judul,isi,hari,tanggal,jam,kategori,sub_kategori,link,keyword
KDM soal Bobotoh Rusak Rumput GBLA: Pidana atau Barak Militer,"Gubernur Jawa Barat Dedi Mulyadi mengomentari perusakan rumput Gelora Bandung Lautan Api (GBLA). Ia akan mempidanakan atau memasukkan pelaku ke barak militer.

Lewat akun Instagram-nya, pria yang akrab disapa Kang Dedi Mulyadi atau KDM itu mengunggah video sejumlah bobotoh mencongkel rumput GBLA, dalam pesta juara Persib Bandung, Sabtu (24/5/2025).

Tak cuma rumput, beberapa bobotoh juga menggunting jaring gawang di GBLA. Bobotoh lain kemudian ada yang meledek, ""Yeuh Pak Dedi, bawa ka Barak, Pak!"" kata video itu.

SCROLL TO CONTINUE WITH CONTENT

KDM menulis komentar pedas untuk video itu. Ia mengancam akan menyeret pelakunya ke ranah pidana atau memasukkannya ke barak militer.

""Proses pidana atau barak militer adalah solusi untuk anda sekalian. Hatur nuhun,"" tulisnya, yang langsung mendapat 117 ribu likes dan 20 ribu lebih komentar dalam waktu sekitar 2 jam.

Dalam videonya, Dedi juga memberi langsung, ""Merayakan kemenangan adalah ekspresi yang kita nantikan, tetapi, saya tidak ada toleransi terhadap tindakan-tindakan yang mengarah pada kriminal,"" katanya.

""Melakukan perusakan pada fasilitas stadion yang kita banggakan. Tunggu, aparat akan segera datang menjemput untuk dilakukan klarifikasi dan pemeriksaan. Apabila terbukti itu pidana, agar diproses.""

""Apabila di bawah umur, maka barak militer adalah tempat untuk anda semua. Dilakukan pembinaan sampai anda menyadari, bahwa tindakan anda memang salah,"" katanya.

KDM diketahui juga ikut dalam konvoi pesta juara Persib. Ia ikut arak-arakan dari Balai Kota ke Gedung Sate Bandung.

Dalam kesempatan itu, KDM juga memberi hadiah kepada Persib. Ia mengucurkan bonus Rp 1 miliar untuk skuad Maung Bandung dari kantong pribadinya.

Persib menjadi juara Liga 1 untuk dua musim beruntun. Tim asuhan Bojan Hodak memenangi persaingan dengan Dewa United, Malut United, dan Persebaya Surabaya.



Tonton juga ""Pawai Persib Juara Liga 1, Bobotoh Tumpah Ruah di Balai Kota"" di sini:

[Gambas:Video 20detik]",Senin,26 Mei  2025,08:30 WIB,Sepakbola,Liga Indonesia,https://sport.detik.com/sepakbola/liga-indonesia/d-7932517/kdm-soal-bobotoh-rusak-rumput-gbla-pidana-atau-barak-militer,KDM barak militer
285 Remaja Didaftarkan Ortu Ikut Program ke Barak Militer Depok,"Wali Kota (Walkot) Depok Supian Suri mengatakan akan mengirim anak-anak nakal ke Yonhub, Jatijajar, untuk dibina. Dandim 0508/Depok Kolonel Inf Imam Widhiarto mengatakan saat ini sebanyak 285 anak didaftarkan orang tua (ortu) untuk turut pembinaan tersebut.

""Dari kapasitas animo yang awalnya 50, yang 100, karena pendaftarnya udah 285 (anak),"" kata Imam kepada wartawan, Senin (26/5/2025).

Kolonel Iman mengatakan materi yang akan diberikan untuk pembinaan tersebut adalah soal kedisiplinan. Mereka akan diajarkan mengatur waktu mulai dari bangun pagi untuk salat Subuh bagi yang muslim.

SCROLL TO CONTINUE WITH CONTENT

""Kemudian senam pagi, pembersihan, makan pagi, kemudian apel pagi, lanjut pelajaran, bagaimana melihat antusiasme, itu semuanya akan dinilai. Dan pada intinya sebenarnya kita ini ingin mengembalikan ini yang kami dapatkan termasuk tadi saran dari Pak Kapolres,"" jelasnya.

Iman mengatakan Kapolres Metro Depok Kombes Abdul Waras sudah memiliki data anak-anak yang pernah tertangkap saat tawuran. Data tersebut akan menjadi saran dan masukan untuk diutamakan dari 285 pendaftar.

""Artinya coba kalau kita berpikir sekarang anak muda-muda kemudian dia membawa parang, golok, pedang, panjang-panjang, ini kan tujuannya kan pasti untuk membunuh ya,"" ucapnya.

""Nah apakah mereka pada saat persiapan tawuran dan membawa senjata itu dengan niatan itu. Apakah tidak ada pemikiran lain bahwa siapa yang akan dihadapi atau yang akan menerima bacokan senjatanya mungkin meninggal,"" tambahnya.

Pada kesempatan yang sama, Kadis Kesbangpol Lienda mengatakan sudah ada 285 anak yang didaftarkan ortu.

""Ya karena kita memang membuka link pendaftaran ya dibitlydan ini disosialisasikan. Dari input yang masukfeedback-nya memang per jam 12 tadi sudah 285 (remaja). Usia 13 sampai 15,"" ujar Lienda.

Lienda mengatakan anak yang terdaftar nantinya diseleksi. Kuota dari pendaftaran tersebut menjadi 100 anak untuk satu gelombang. Nantinya mereka akan ditempatkan di dua lokasi yakni di Yonhub Jatijajar dan Kostrad Cilodong.

""Memang kita memintanya yang daftar orang tua, sesuai dengan arahan dari Pak Wali bahwa memang ini orang tua yang diberikan kesempatan untuk mendaftarkan anaknya, walaupun nanti kita akan di-screeninglagi ya seleksi lagi,"" ucapnya.

""Kita upayakan 100, tadi ada perubahan, kan awalnya 50, memang 50 awalnya itu untuk 2 gelombang, tetapi sekarang 100 untuk satu gelombang,"" tuturnya.",Senin,26 Mei  2025,20:11 WIB,detikNews,Berita,https://news.detik.com/berita/d-7934039/285-remaja-didaftarkan-ortu-ikut-program-ke-barak-militer-depok,KDM barak militer
"Oknum Bobotoh Rusak GBLA, Dedi Mulyadi: Pidana atau Barak Militer!","Oknum bobotoh merusak fasilitas Stadion GBLA usai pertandingan pamungkas Persib Bandung melawan Persis Solo, Sabtu (24/5). Mereka mencabut rumput stadion bahkan menggunting jala gawang setelah laga itu selesai digelar.

Diketahui, pertandingan pamungkas itu sekaligus menjadi ajang penyerahan piala kepada Persib yang menjadi juara Liga 1 2024/2025. Penyerahan piala dilakukan di royal box GBLA setelah bobotoh turun ke lapangan Stadion GBLA untuk merasakan euforia tersebut.

Sayangnya ternyata, aksi bobotoh turun ke lapangan dibarengi dengan tindakan tak sepatutnya. Rumput stadion dicabut dan jala gawang dipotong, dan aksi mereka terekam video yang tersebar di media sosial.

SCROLL TO CONTINUE WITH CONTENT

Gubernur Jawa Barat (Jabar) Dedi Mulyadi juga dibuat geram dengan ulah oknum bobotoh itu. Melalui unggahan video di Instagram pribadinya, ia menegaskan euforia kemenangan seharusnya tidak dibarengi dengan tindakan pengrusakan.

""Merayakan kemenangan adalah ekspresi yang kita nantikan. Tetapi, saya tidak ada toleransi terhadap tindakan-tindakan yang mengarah kepada kriminal melakukan perusakan terhadap fasilitas stadion yang kita banggakan (Stadion GBLA),"" kata Dedi Mulyadi dalam unggahannya dikutipdetikJabar, Senin (26/5/2025).

Dedi Mulyadi memastikan telah memerintahkan aparat untuk mengusut insiden tersebut. Pilihannya untuk si pelaku ada dua, yaitu proses pidana atau dimasukkan ke barak militer.

""Tunggu aparat akan segera datang menjemput untuk dilakukan klarifikasi dan pemeriksaan. Apabila terbukti itu pidana, akan diproses,"" ungkapnya.

""Apabila di bawah umur, maka barak militer adalah tempat untuk anda semua dilakukan pembinaan sampai anda menyadari tindakan anda memang salah,"" pungkasnya.",Senin,26 Mei  2025,10:30 WIB,detikJabar,Sepakbola,https://www.detik.com/jabar/sepakbola/d-7932646/oknum-bobotoh-rusak-gbla-dedi-mulyadi-pidana-atau-barak-militer,KDM barak militer
Haedar Nashir Minta Program Barak Militer Dedy Mulyadi Dikaji Ulang,"Kebijakan Gubernur Jawa Barat, Dedy Mulyadi, soal mengirim pelajar nakal ke barak militer menuai banyak sorotan. Ketua Umum (Ketum) PP Muhammadiyah, Haedar Nashir, meminta program tersebut dikaji ulang.

Menurut Haedar, program pendidikan barak tidak bersifat artifisial. Menurutnya, jika program ini dibuat untuk mendisiplinkan pelajar bandel, harusnya menggunakan aspek fisik.

""Semestinya dikaji ulang lah. Disiplin itu kan tidak berarti fisik, tapi mentalitas, tapi yang namanya pendidikan itu termasuk perubahan kurikulum, pola yang kita kembangkan itu hasil kajian yang disebut dengan kajian akademik, dan kita harus membiasakan itu,"" tutur Haedar saat ditemui di Kasihan, Bantul, Minggu (25/5/2025).

SCROLL TO CONTINUE WITH CONTENT

Haedar menuturkan program ini harus dikaji ulang mengacu pada undang-undang dan naskah akademik yang berlaku. Termasuk harus melibatkan stakeholder di bidang akademik.

""Bahkan, segala rancangan undang-undang mestinya didasarkan pada naskah akademik. Naskah akademik itu melibatkan berbagai stakeholder untuk mengkritisi dan memberi masukan secara akademik. Supaya hasil yang terbaik biar pun tidak sempurna,"" lanjutnya.

Maka dari itu, Haedar menyarankan Dedy Mulyadi untuk berkomunikasi dengan Kemendikdasmen untuk mengkaji ulang program ini. Tujuannya agar program yang dibuat sesuai dengan koridor sistem pendidikan.

""Tapi secara objektif itu mewadahi pandangan-pandangan yang berkembang di masyarakat, kita kurang di situ. Saya sarankan Pak Gubernur berdialog dengan Kemendikdasmen supaya apa yang dilakukan itu dalam koridor sistem pendidikan nasional dan hasilnya bagus,"" lanjutnya.

""Kita menghargai semangatnya, untuk menanamkan disiplin di Jawa Barat. Itu penting, tapi soal model itu kalau pendidikan perlu kajian lintas aspek,"" tegas Haedar.

Dalam kesempatan yang sama, Wakil Menteri Pendidikan Dasar dan Menengah, Fajar Riza Ul Haq, mengaku masih mencermati terkait program ini. Dia menuturkan bakal ada pengkajian dengan pakar pendidikan, KPAI, dan psikolog.

""Kami masih mencermati termasuk pandangan para pakar ya, termasuk juga KPAI. Jadi kita anggap sebagai proses pangkajian kami dan kami juga mendengar dari pakar pendidikan, termasuk juga psikolog dan KPAI. Jadi belum bisa berkomentar banyak,"" tutupnya.

",Minggu,25 Mei  2025,17:05 WIB,detikJogja,Politik Peristiwa,https://www.detik.com/jogja/berita/d-7931906/haedar-nashir-minta-program-barak-militer-dedy-mulyadi-dikaji-ulang,KDM barak militer
"Hakim MK ke Dokter Spesialis: Jawab Jujur, Apakah PPDS Seperti Barak Militer?","Hakim Mahkamah Konstitusi (MK) Enny Nurbaningsih mengonfirmasi langsung mengenai benar atau tidaknya ada perundungan (bullying) kepada dokter yang mengikuti program pendidikan dokter spesialis (PPDS). Hakim Enny bertanya langsung kepada dokter spesialis senior yang ada di ruang sidang MK.

Momen itu terjadi saat sidang nomor perkara 111/PUU-XXII/2024 pada Kamis, 23 Mei 2025. Enny bertanya kepada tiga dokter spesialis, yakni dokter spesialis bedah saraf di Departemen Bedah Saraf Fakultas Kedokteran Universitas Diponegoro (Undip) Zainal Muttaqin, dokter spesialis anak RSCM Piprim Basarah Yanuarso, dan dokter jantung di Rumah Sakit Harapan Kita bernama Renan Sukmawan.""Saya ingin mendapatkan satu jawaban yang jujur, karena ini menyangkut soal kesehatan, soal nyawa ya. Sebetulnya saya juga dapat informasi cukup banyak soal ini, apakah memang benar bahwa dokter yang mengikuti program PPDS, itu secara faktual sering sekali mengalami, banyak yang mengalami soal misalnya kekerasan fisik, verbal. Termasuk kemudian yang sistemik dan adanya pungutan-pungutan yang tidak sesuai?"" ucap hakim Enny bertanya.

""Saya ingin dapatkan kejujurannya. Selama mengikuti PPDS,benernggak sih sebetulnya di sana itu seperti barak militer?"" lanjutnya bertanya.

SCROLL TO CONTINUE WITH CONTENT

Enny juga bertanya apakah hubungan antara senior dan junior PPDS itu sangat jauh. Dia meminta kejujuran para dokter spesialis menjawab dengan jujur.

""Sehingga hubungan antara senior-junior itu begitu kuatnya seolah-olah gunung es yang tidak bisa diruntuhkan, itu yang saya juga pernah langsung mengetahui sebetulnya, itu sejauh ini seperti apa? Karena ini menyangkut pendidikan yang sangat penting,benernggak itu terjadi?"" tanya Enny lagi.

Para dokter spesialis itu masing-masing menjawab sesuai versi departemennya. Mereka mengaku tidak adabullyingyang terjadi di departemennya.

""Kalau di tempat kami sendiri, kita menjamin itu tidak, di tempat departemen bedah saraf di Fakultas Kedokteran Undip, tetapi kami merasakan bahwa ada hal-hal yang bersifat seperti meminta anak didik untuk melakukan sebagai hukuman untuk tambah jaganya dan itu seperti itu yang kami lihat,"" jawab Zainal.

""Coba, Bapak, nggak boleh bohong lho, Pak, ya di sini,"" timpal hakim Enny.

Hakim Enny kemudian meminta dokter Piprim. Jawabannya kurang lebih sama dengan Zainal.

Piprim awalnya meminta hakim Enny membedakan mana yangtrue bullyingdan bukan. Menurutnya, beberapa masyarakat tidak bisa membedakan mana yang benarbullyingdan tidak.

""True bullying,Yang Mulia, tidak terjadi di sepanjang saya mengalami pendidikan di PPDS di FK UI RSCM, tidak pernah ada yang namanya seperti itu, tapi kalau misalnya saya mesti menginap di rumah sakit karena besok menyiapkan ronde di bagian hematologi, pasiennya banyak, dan saya harusperfectmengetahui betul detail pasien itu, nggak boleh salah demi kepentingan pasien-pasien, saya rasa maka beban kerja seperti itu memang biasa kita tanggung sehari-hari, Yang Mulia, dan itu menurut saya bukanbullying, itu adalah risiko dari kami menempuh pendidikan spesialis,"" kata Piprim.

Hal yang sama juga dikatakan Renan. Dia mengatakan tidak adabullyingdi RS Harapan Kita. Bahkan, kata Renan, dokter yang menempuh PPDS di Harapan Kita mendapat honor sehingga kesejahteraannya lebih baik.

""Saya kebetulan pernah menjadi Ketua Prodi Jantung dan Pembuluh Darah tempat kami di RS Harapan Kita. Salah satu yang buat kondusif adalah di sana pesertanya, walaupun bayar uang kuliah ke universitas, tapi diberi honor oleh RS Harapan Kita, jadi sehingga kesejahteraannya juga lebih baik, dan kemudian hal-hal seperti tadi (bullying), harus keluarkan uang dan sebagainya, tidak ada,"" ucap Renan.

Renan mengaku, selama menjadi ketua prodi di RS Harapan Kita, mempersilakan setiap orang melapor memakaie-mailkaleng yang identitasnya disembunyikan. Dia mengaku pernah menemukan masalah mengenai jadwal jaga, tapi bukanbullying.

""Ada hal-hal yang misalnya ketika saya jadi kaprodi, kalau senior memiliki jatah jaga lebih sedikit daripada junior, saya minta mereka (junior) membuate-mailkaleng ke saya, anonim, dan itu ketika itu misalnya terjadi ada distribusi jaga yang mungkin berbeda, maka saya turun. Hal-hal seperti itu saja,"" ucap Renan.

Simak juga Video 'Guru Besar FKUI Tanggapi Framing Negatif 'Bullying-PPDS Mahal'':

[Gambas:Video 20detik]

",Jumat,23 Mei  2025,13:58 WIB,detikNews,Berita,https://news.detik.com/berita/d-7928559/hakim-mk-ke-dokter-spesialis-jawab-jujur-apakah-ppds-seperti-barak-militer,KDM barak militer
"Cianjur Terapkan Jam Malam, Pelajar Terjaring Razia Dikirim ke Barak!","Pemerintah Kabupaten Cianjur bakal menerapkan jam malam untuk pelajar. Razia pelajar atau anak di bawah 16 tahun akan dilakukan, di mana mereka yang terjaring akan dibina di barak militer.

Bupati Cianjur dr Muhammad Wahyu, mengatakan penerapan jam malam tersebut merupakan tindak lanjut dari Surat edaran Gubernur Jawa Barat untuk mewujudkan generasi Panca Waluya di Jawa Barat.

""Setuju dengan kebijakan tersebut, kita juga akan keluarkan surat edarannya di tingkat kabupaten. Jadi jam 21.00 WIB, anak-anak di bawah 16 tahun atau kategori pelajar harus sudah di rumah,"" kata dia, Selasa (27/5/2025).

SCROLL TO CONTINUE WITH CONTENT

Menurut Wahyu, para pelajar memang seharusnya sudah di rumah saat malam hari untuk belajar. ""Jangan sampai anak-anak ini berkeliaran di malam hari,"" kata dia.

Wahyu juga akan menjadikan mengirim siswa yang terjaring razia jam malam oleh petugas Satpol PP atau Polres Cianjur ke barak militer untuk pembinaan.

""Dari Polres sudah muklai patroli dan razia, nanti kami dati Satpol PP juga akan razia. Yang terjaring, nanti jadi pertimbangan prioritas pembinaan di barak militer,"" kata dia.

Sementara itu Kapolres Cianjur AKBP Rohman Yonky Dilatha, mengatakan sejak edaran dari Pemperov Jabar keluar, pihaknya langsung melakukan patroli sekaligus razia terhadap anak-anak atau pelajar yang nongkrong melewati jam malam.

""Tadi malam kami sudah amankan 11 pelajar dari dua lokasi berbeda. Kami langsung berikan pembinaan, termasuk memanggil orangtua, tokoh setempat, dan bhabinkamtibmasnya untuk menjemput langsung,"" kata dia.

Dia mengatakan razia tersebut akan terus dilakukan setiap malam. Bahkan tidak hanya menyasar pelajar yang masih berkeliaran di jalan, tetapi juga pelajar yang nongkrong di cafe saat malam hari.

""Tentu ini harus dilakukan secara berkelanjutan. Timnya yang biasa melakukan patroli. Sasarannya tidak hanya yang nongkrong di jalan, tapi juga di cafe. Nanti kami akan datangi cafe-cafe, kalau ada pelajar kami langsung amankan,"" kata dia.

Dia berharap dengan kebijakan ini diharapkan dapat menjaga anak dari kenakalan ataupun tindak kriminal.""Jangan sampai anak-anak jadi korban ataupun pelaku dari tindak kriminal. Dan ini saya sudah terapkan sewaktu di Garut. Ketika sekarang di Cianjur ternyata gayung bersambut dengan kebijakan gubernur,"" ungkapnya.",Selasa,27 Mei  2025,17:57 WIB,detikJabar,Berita,https://www.detik.com/jabar/berita/d-7935749/cianjur-terapkan-jam-malam-pelajar-terjaring-razia-dikirim-ke-barak,KDM barak militer
Tanggapan Jeje Govinda soal Kebijakan KDM Anak Nakal Masuk Barak Militer,"Langkah ini pun menuai beragam respons, termasuk dari Bupati Bandung Barat, Jeje Govinda. Ia menyatakan dukungannya terhadap arahan dari Gubernur Jawa Barat tersebut. Ia mengaku selalu berusaha sejalan dengan visi dan langkah-langkah KDM.

""Saya tentunya selalu mengikuti apa yang diarahkan oleh Gubernur saya Gubernur Jawa Barat. Jadi kita harus selaras sama visi-visi dari KDM,"" kata Jeje saat ditemui di kawasan Jagakarsa, Jakarta Selatan, Sabtu (10/5/2025).

Ia pun mengonfirmasi bahwa pihaknya telah berkoordinasi dengan pemerintah provinsi terkait pelaksanaan kebijakan tersebut di wilayah Bandung Barat.

""Oh kita dikoordinasi dengan provinsi juga. Mereka minta tempat mana di Bandung Barat yang sekiranya bisa dijadikan tempat untuk pelatihan,"" ujarnya.

Saat ditanya apakah dirinya juga menerapkan kedisiplinan ketat pada anak-anak di rumah. Jeje dan sang istri, Syahnaz Sadiqah, mengungkap bahwa pendekatannya di rumah masih lebih lembut.

""Masih bisa menurut sama mamanya,"" ujar Syahnaz.

Syahnaz juga menanggapi santai soal fenomena anak-anak yang susah diatur dan seringkali viral di media sosial, seperti yang ditampilkan dalam konten KDM. Banyak anak-anak yang menjadi disiplin usai melihat konten KDM mengajak anak nakal untuk ke barak militer.

""Masih kecil banget juga anak aku. Kalo liat Instagram aja, banyak yang kayak Pak Deddy nih, nggak mau makan kayak gitu. Maksudnya mungkin jadi apa ya? Kalo yang anak-anak maksudnya susah dibilangin,"" lanjut Syahnaz.

Meski begitu, Jeje menilai bahwa kebijakan dari KDM cukup baik. Juga layak didukung untuk pembentukan karakter anak-anak yang lebih disiplin.

""Tapi bagus maksudnya kebijakannya. Kita tentunya seperti yang saya bilang tadi, selalu sinergi dengan provinsi,"" tutup Jeje.Video: KPAI Soroti Tenaga Pendidik di Barak MiliterVideo: KPAI Soroti Tenaga Pendidik di Barak Militer(fbr/ass)",,,,,,https://www.detik.com/pop/trending/d-7909944/tanggapan-jeje-govinda-soal-kebijakan-kdm-anak-nakal-masuk-barak-militer,KDM barak militer
Video: KPAI Soroti Regulasi Pelaksanaan Pendidikan Siswa di Barak Militer,"Komisi Perlindungan Anak Indonesia (KPAI) soroti standar pendidikan siswa dan perlindungan siswa yang dikirim ke barak militer akibat bermasalah. Wakil Ketua KPAI Jasra Putra mengungkap belum adanya petunjuk teknis (juknis) yang berlaku, dapat mengakibatkan mutu dari program pendidikan tidak baik.",1,"128 Views  |  Minggu, 18 Mei  2025",09:00 WIB,,,https://20.detik.com/detikupdate/20250518-250518051/video-kpai-soroti-regulasi-pelaksanaan-pendidikan-siswa-di-barak-militer,KDM barak militer
Video: KPAI Koordinasi dengan KemenPPA soal Kebijakan Pendidikan Barak Militer,"Komisi Perlindungan Anak Indonesia (KPAI) berkoordinasi dengan stakeholder seperti Kementerian Pemberdayaan Perempuan dan Anak (KemenPPA) terkait kebijakan Gubernur Jawa Barat Dedi Mulyadi yang mengirim siswa bermasalah ke barak militer. Hari ini, Jumat (15/5) focus group discussion telah dilakukan KPAI bersama stakeholder terkait lainnya.",2,"309 Views  |  Jumat, 16 Mei  2025",22:59 WIB,,,https://20.detik.com/detikupdate/20250516-250516143/video-kpai-koordinasi-dengan-kemenppa-soal-kebijakan-pendidikan-barak-militer-,KDM barak militer
Video: KPAI Soroti Tenaga Pendidik di Barak Militer,Komisioner Perlindungan Anak Indonesia (KPAI) tenaga pendidik siswa dalam program penguatan karakter di barak militer. KPAI menyebut tenaga pendidik dari TNI terbiasa melatih menggunakan skema militer bukan keterampilan khusus pengelolaan anak.,5,"631 Views  |  Jumat, 16 Mei  2025",15:30 WIB,,,https://20.detik.com/detikupdate/20250516-250516101/video-kpai-soroti-tenaga-pendidik-di-barak-militer,KDM barak militer
