,judul_berita,waktu_upload,link_berita
0,Pelukan Hangat Prabowo Sambut Macron di Istana Merdeka,7 menit yang lalu,https://news.detik.com/berita/d-7936600/pelukan-hangat-prabowo-sambut-macron-di-istana-merdeka
1,"Bocah 13 Tahun di Meranti Riau Hilang, Ternyata Dicabuli Tukang Cukur",10 menit yang lalu,https://news.detik.com/melindungi-tuah-marwah/d-7936587/bocah-13-tahun-di-meranti-riau-hilang-ternyata-dicabuli-tukang-cukur
2,"Video Ngerinya Ledakan Pabrik Kimia di China: 5 Tewas, 19 Luka",11 menit yang lalu,https://20.detik.com/detikupdate/20250528-250528064/video-ngerinya-ledakan-pabrik-kimia-di-china-5-tewas-19-luka
3,"Polisi Bongkar Peredaran Narkoba di Tangerang, 4,8 Kg Ganja Disita",13 menit yang lalu,https://news.detik.com/berita/d-7936582/polisi-bongkar-peredaran-narkoba-di-tangerang-4-8-kg-ganja-disita
4,Video Macron dan Istri Gandengan Turun dari Pesawat Saat Tiba di RI,16 menit yang lalu,https://20.detik.com/detikupdate/20250528-250528060/video-macron-dan-istri-gandengan-turun-dari-pesawat-saat-tiba-di-ri
5,PKL-Parkir Liar di Pasar Ciluar Bogor Ditertibkan,16 menit yang lalu,https://news.detik.com/berita/d-7936574/pkl-parkir-liar-di-pasar-ciluar-bogor-ditertibkan
6,Dikotomi Rivalitas AS-China: Ke Mana Indonesia Harus Berlabuh?,19 menit yang lalu,https://news.detik.com/kolom/d-7935651/dikotomi-rivalitas-as-china-ke-mana-indonesia-harus-berlabuh
7,India Gencarkan 'Serangan' Diplomasi Usai Serangan di Kashmir,23 menit yang lalu,https://news.detik.com/dw/d-7936570/india-gencarkan-serangan-diplomasi-usai-serangan-di-kashmir
8,Awal Mula Terbongkar Pasutri di Kampar Riau Paksa Anak Threesome,33 menit yang lalu,https://news.detik.com/melindungi-tuah-marwah/d-7936558/awal-mula-terbongkar-pasutri-di-kampar-riau-paksa-anak-threesome
9,Potret Masjidil Haram dari Gedung Tertinggi di Arab Saudi,35 menit yang lalu,https://news.detik.com/foto-news/d-7936547/potret-masjidil-haram-dari-gedung-tertinggi-di-arab-saudi
