judul,link,keyword
Kemensos Ajak Bank Dunia Tngani Pengentasan Kemiskinan,https://www.tempo.co/foto/arsip/kemensos-ajak-bank-dunia-tngani-pengentasan-kemiskinan-1181562,kemiskinan world bank
"Bank Dunia Sarankan Indonesia Ubah Garis Kemiskinan, Pengamat: Pemerintah Jangan Denial",https://www.tempo.co/ekonomi/bank-dunia-sarankan-indonesia-ubah-garis-kemiskinan-pengamat-pemerintah-jangan-denial-187881,kemiskinan world bank
World Bank: Sektor Pertanian Dorong Penanggulangan Kemiskinan Ekstrem,https://www.tempo.co/info-tempo/world-bank-sektor-pertanian-dorong-penanggulangan-kemiskinan-ekstrem-189139,kemiskinan world bank
"Hapus Kemiskinan Ekstrem, PUPR dan Bank Dunia Garap Program Bantuan Rumah Layak Huni",https://www.tempo.co/ekonomi/hapus-kemiskinan-ekstrem-pupr-dan-bank-dunia-garap-program-bantuan-rumah-layak-huni-267543,kemiskinan world bank
Anggota DPR: Batas Garis Kemiskinan Perlu Ditinjau Ulang,https://www.tempo.co/info-tempo/anggota-dpr-batas-garis-kemiskinan-perlu-ditinjau-ulang-280053,kemiskinan world bank
Bagaimana Cara Mengukur Angka Kemiskinan? Begini Menurut BPS,https://www.tempo.co/ekonomi/bagaimana-cara-mengukur-angka-kemiskinan-begini-menurut-bps-280479,kemiskinan world bank
"Jika RI Tak Ikuti Standar Garis Kemiskinan Bank Dunia, Apa Konsekuensinya?",https://www.tempo.co/ekonomi/jika-ri-tak-ikuti-standar-garis-kemiskinan-bank-dunia-apa-konsekuensinya--280596,kemiskinan world bank
"Bank Dunia Sebut 13 Juta Warga Miskin Baru di Indonesia, Kok Bisa?",https://www.tempo.co/ekonomi/bank-dunia-sebut-13-juta-warga-miskin-baru-di-indonesia-kok-bisa--280657,kemiskinan world bank
"Dampak Garis Kemiskinan Bank Dunia Direvisi, Jumlah Penduduk Miskin Indonesia dan Cina Melesat",https://www.tempo.co/ekonomi/dampak-garis-kemiskinan-bank-dunia-direvisi-jumlah-penduduk-miskin-indonesia-dan-cina-melesat-281458,kemiskinan world bank
"Berdiri Pasca Perang Dunia II, Apa Peran Bank Dunia Sekarang?",https://www.tempo.co/ekonomi/berdiri-pasca-perang-dunia-ii-apa-peran-bank-dunia-sekarang--440651,kemiskinan world bank
"76 Tahun Bank Dunia, Targetnya Akhiri Kemiskinan Ekstrem 2030",https://www.tempo.co/ekonomi/76-tahun-bank-dunia-targetnya-akhiri-kemiskinan-ekstrem-2030-440807,kemiskinan world bank
"World Bank: Kemiskinan Terendah di Jakarta, Tertinggi di Papua",https://www.tempo.co/ekonomi/world-bank-kemiskinan-terendah-di-jakarta-tertinggi-di-papua--696871,kemiskinan world bank
Bank Dunia: Urbanisasi Naik 1 Persen Turunkan Kemiskinan 1 Persen,https://www.tempo.co/ekonomi/bank-dunia-urbanisasi-naik-1-persen-turunkan-kemiskinan-1-persen-699974,kemiskinan world bank
"Ekonom Sebutkan Tiga Pilar Utama Atasi Ketimpangan, Apa Saja &nbsp;",https://www.tempo.co/ekonomi/ekonom-sebutkan-tiga-pilar-utama-atasi-ketimpangan-apa-saja-nbsp--1273690,kemiskinan world bank
