judul,link,keyword
Seknas Fitra: Makan Bergizi Gratis Belum Dongkrak Pertumbuhan Ekonomi,https://www.tempo.co/ekonomi/seknas-fitra-makan-bergizi-gratis-belum-dongkrak-pertumbuhan-ekonomi-1533866,makan bergizi gratis
"Hingga 21 Mei, Anggaran Makan Bergizi Gratis Sudah Cair Rp 3 Triliun",https://www.tempo.co/ekonomi/hingga-21-mei-anggaran-makan-bergizi-gratis-sudah-cair-rp-3-triliun-1523916,makan bergizi gratis
Korban Keracunan MBG Lebih Besar dari Klaim Prabowo,https://www.tempo.co/politik/korban-keracunan-mbg-lebih-besar-dari-klaim-prabowo-1523873,makan bergizi gratis
"Sejumlah Titik Kritis dalam Program MBG, Menurut BPOM",https://www.tempo.co/politik/sejumlah-titik-kritis-dalam-program-mbg-menurut-bpom-1523799,makan bergizi gratis
Bos BGN Membantah Raffi Ahmad Kelola 300 Dapur Makan Bergizi Gratis,https://www.tempo.co/ekonomi/bos-bgn-membantah-raffi-ahmad-kelola-300-dapur-makan-bergizi-gratis-1513999,makan bergizi gratis
Sekjen Kemendagri Instruksikan Percepatan Lahan MBG,https://www.tempo.co/info-tempo/sekjen-kemendagri-instruksikan-percepatan-lahan-mbg-1513993,makan bergizi gratis
"Badan Gizi Nasional jadi Instansi dengan Pagu Anggaran Terbesar di 2026, Kelola Rp 217,8 Triliun",https://www.tempo.co/ekonomi/badan-gizi-nasional-jadi-instansi-dengan-pagu-anggaran-terbesar-di-2026-kelola-rp-217-8-triliun-1513839,makan bergizi gratis
BGN Tambah 294 SPPG untuk Makan Bergizi Gratis pada 29 Mei,https://www.tempo.co/politik/bgn-tambah-294-sppg-untuk-makan-bergizi-gratis-pada-29-mei-1503905,makan bergizi gratis
REI: Program 3 Juta Rumah Dukung Efektivitas Makan Bergizi Gratis,https://www.tempo.co/ekonomi/rei-program-3-juta-rumah-dukung-efektivitas-makan-bergizi-gratis-1494038,makan bergizi gratis
Kata 'Hanya' bagi Prabowo Subianto,https://www.tempo.co/kolom/keracunan-mbg-prabowo-subianto--1472068,makan bergizi gratis
"Belum Sepekan Prabowo Canangkan Target Zero Accident, Keracunan Makanan MBG Terulang",https://www.tempo.co/politik/belum-sepekan-prabowo-canangkan-target-zero-accident-keracunan-makanan-mbg-terulang--1463710,makan bergizi gratis
3 Penyebab Keracunan Makanan di Program Makan Bergizi Gratis Versi BPOM,https://www.tempo.co/politik/3-penyebab-keracunan-makanan-di-program-makan-bergizi-gratis-versi-bpom-1454012,makan bergizi gratis
Kata Badan Gizi Soal Belum Melibatkan BPOM di Makan Bergizi Gratis,https://www.tempo.co/politik/kata-badan-gizi-soal-belum-melibatkan-bpom-di-makan-bergizi-gratis-1444242,makan bergizi gratis
BPOM Belum Dilibatkan Mengawasi Produksi Makan Bergizi Gratis,https://www.tempo.co/video/arsip/bpom-belum-dilibatkan-mengawasi-produksi-makan-bergizi-gratis-1444198,makan bergizi gratis
BPOM Catat 17 Kejadian Luar Biasa Kasus Keracunan MBG sejak Januari,https://www.tempo.co/politik/bpom-catat-17-kejadian-luar-biasa-kasus-keracunan-mbg-sejak-januari-1444155,makan bergizi gratis
BPOM Ungkap Penyebab Keracunan pada Menu MBG,https://www.tempo.co/ekonomi/bpom-ungkap-penyebab-keracunan-pada-menu-mbg-1444010,makan bergizi gratis
Desa Panongan Jadi Percontohan Nasional BUMDes Pengelola Dapur MBG,https://www.tempo.co/ekonomi/desa-panongan-jadi-percontohan-nasional-bumdes-pengelola-dapur-mbg-1434098,makan bergizi gratis
Ini Penyebab Keracunan Makan Bergizi Gratis di Bogor,https://www.tempo.co/politik/ini-penyebab-keracunan-makan-bergizi-gratis-di-bogor--1433980,makan bergizi gratis
BGN Bilang Tanggung Biaya Pengobatan Siswa Keracunan MBG di Bogor,https://www.tempo.co/politik/bgn-bilang-tanggung-biaya-pengobatan-siswa-keracunan-mbg-di-bogor-1424104,makan bergizi gratis
BGN Klaim Program MBG bakal Membuka 90 Ribu Lapangan Kerja untuk Sarjana,https://www.tempo.co/ekonomi/bgn-klaim-program-mbg-bakal-membuka-90-ribu-lapangan-kerja-untuk-sarjana-1424103,makan bergizi gratis
Alasan Mengapa Efisiensi Anggaran Berlanjut ke 2026,https://www.tempo.co/ekonomi/alasan-mengapa-efisiensi-anggaran-berlanjut-ke-2026-1503808,efisiensi anggaran
"Efisiensi Anggaran, Sastra Prioritaskan Sektor Pendidikan",https://www.tempo.co/info-tempo/efisiensi-anggaran-sastra-prioritaskan-sektor-pendidikan-1344307,efisiensi anggaran
Anggaran Kecil KKP Jadi Perhatian Komisi IV DPR RI,https://www.tempo.co/info-tempo/anggaran-kecil-kkp-jadi-perhatian-komisi-iv-dpr-ri-1234748,efisiensi anggaran
PHRI Kritik Pemerintah yang Sarankan Hotel Cari Pasar Lain,https://www.tempo.co/ekonomi/phri-kritik-pemerintah-yang-sarankan-hotel-cari-pasar-lain-1228040,efisiensi anggaran
IRS Pecat 20.000 Pekerja Jelang Masa Pelaporan Pajak AS,https://www.tempo.co/internasional/irs-pecat-20-000-pekerja-jelang-masa-pelaporan-pajak-as-1227692,efisiensi anggaran
Hotel di Bandung Kurangi Pekerja Sejak Februari Terdampak Efisiensi Anggaran Pemerintah,https://www.tempo.co/ekonomi/hotel-di-bandung-kurangi-pekerja-sejak-februari-terdampak-efisiensi-anggaran-pemerintah-1226767,efisiensi anggaran
"Dampak Efisiensi Anggaran, PHRI: 2 Hotel di Bogor Tutup, 150 Orang Kena PHK",https://www.tempo.co/ekonomi/dampak-efisiensi-anggaran-phri-2-hotel-di-bogor-tutup-150-orang-kena-phk-1226727,efisiensi anggaran
Serikat Pekerja Allianz Life Indonesia Minta Pemerintah Turun Tangan Batalkan PHK 136 Karyawan,https://www.tempo.co/ekonomi/serikat-pekerja-allianz-life-indonesia-minta-pemerintah-turun-tangan-batalkan-phk-136-karyawan--1226525,efisiensi anggaran
Daya Beli Masyarakat Melemah perlu Diantisipasi,https://www.tempo.co/ekonomi/daya-beli-masyarakat-melemah-perlu-diantisipasi-1225915,efisiensi anggaran
Staf VOA Gugat Pemerintahan Trump karena Menutup Media,https://www.tempo.co/internasional/staf-voa-gugat-pemerintahan-trump-karena-menutup-media-1223474,efisiensi anggaran
"Bubu Nelayan Anambas Hancur Dihantam Kapal Vietnam, Nelayan: Kemana Kapal Patroli Indonesia?",https://www.tempo.co/internasional/bubu-nelayan-anambas-hancur-dihantam-kapal-vietnam-nelayan-kemana-kapal-patroli-indonesia--1222976,efisiensi anggaran
"Bisnis Perhotelan Terancam Lesu, Sandiaga Minta Pemerintah Tetap Berkegiatan di Hotel Meski Efisiensi Anggaran",https://www.tempo.co/ekonomi/bisnis-perhotelan-terancam-lesu-sandiaga-minta-pemerintah-tetap-berkegiatan-di-hotel-meski-efisiensi-anggaran-1222571,efisiensi anggaran
Polisi Kanada Tangkap Aktivis Lingkungan karena Merusak Dealer Tesla,https://www.tempo.co/internasional/polisi-kanada-tangkap-aktivis-lingkungan-karena-merusak-dealer-tesla-1222004,efisiensi anggaran
Profil VOA Media Penyiaran yang Dibekukan Donald Trump,https://www.tempo.co/internasional/profil-voa-media-penyiaran-yang-dibekukan-donald-trump--1220997,efisiensi anggaran
Profil Fairmont Hotel yang Digunakan DPR Menggelar Rapat Tertutup tentang RUU TNI,https://www.tempo.co/ekonomi/profil-fairmont-hotel-yang-digunakan-dpr-menggelar-rapat-tertutup-tentang-ruu-tni-1220530,efisiensi anggaran
"Pengusaha Pusat Perbelanjaan Sebut Efisiensi Anggaran Bisa Berdampak ke Sektor Ritel, Kenapa?",https://www.tempo.co/ekonomi/pengusaha-pusat-perbelanjaan-sebut-efisiensi-anggaran-bisa-berdampak-ke-sektor-ritel-kenapa--1219899,efisiensi anggaran
Alasan Mendagri Siapkan Tim Blusukan Cek Efisiensi Anggaran Daerah,https://www.tempo.co/politik/alasan-mendagri-siapkan-tim-blusukan-cek-efisiensi-anggaran-daerah-1219311,efisiensi anggaran
"Imbas Pemangkasan Anggaran, Kemenag Terapkan WFH Setiap Jumat",https://www.tempo.co/politik/imbas-pemangkasan-anggaran-kemenag-terapkan-wfh-setiap-jumat-1217463,efisiensi anggaran
Strategi Pelaku Industri Perhotelan untuk Menyiasati Dampak Pemangkasan Anggaran Pemerintah,https://www.tempo.co/ekonomi/strategi-pelaku-industri-perhotelan-untuk-menyiasati-dampak-pemangkasan-anggaran-pemerintah-1216781,efisiensi anggaran
"Darurat Banjir, BNPB Pastikan Dana Siap Pakai Tak Terdampak Efisiensi Anggaran",https://www.tempo.co/ekonomi/darurat-banjir-bnpb-pastikan-dana-siap-pakai-tak-terdampak-efisiensi-anggaran-1216205,efisiensi anggaran
Apakah Ada Pendaftaran CPNS di 2025?,https://www.tempo.co/ekonomi/apakah-ada-pendaftaran-cpns-di-2025--1503801,CPNS 2025
"Ribuan CPNS Mundur karena Optimalisasi, Kemenpan RB Ingatkan Pelamar Siap Ditempatkan di Mana pun",https://www.tempo.co/politik/ribuan-cpns-mundur-karena-optimalisasi-kemenpan-rb-ingatkan-pelamar-siap-ditempatkan-di-mana-pun-1294744,CPNS 2025
Fakta-fakta 1.967 CASN Mengundurkan Diri Usai Lolos Seleksi,https://www.tempo.co/politik/fakta-fakta-1-967-casn-mengundurkan-diri-usai-lolos-seleksi-1279404,CPNS 2025
Kepala BKN Ungkap Lima Alasan 1.967 CPNS Mundur,https://www.tempo.co/politik/kepala-bkn-ungkap-lima-alasan-1-967-cpns-mundur-1277525,CPNS 2025
"1.967 CASN Mundur, Puan: Sistem Rekrutmen Harus Beradaptasi dengan Zaman",https://www.tempo.co/video/arsip/1-967-casn-mundur-puan-sistem-rekrutmen-harus-beradaptasi-dengan-zaman-1267344,CPNS 2025
Menpan RB soal 700 Dosen CPNS Mundur: Mayoritas karena Penempatan,https://www.tempo.co/politik/menpan-rb-soal-700-dosen-cpns-mundur-mayoritas-karena-penempatan-1231866,CPNS 2025
